title,description,frequency,time_of_day,streak_count,last_completed_date
Morning meditation,20 minutes of mindfulness practice,daily,morning,47,2025-11-13
Deep work block,4 hours of focused work on most important project,daily,morning,38,2025-11-13
Evening reflection,Reviewing the day and planning tomorrow,daily,evening,52,2025-11-12
Gym workout,Strength training or cardio exercise,weekly,morning,12,2025-11-11
Weekly review,Reflecting on progress and planning the week ahead,weekly,morning,8,2025-11-10
Long walk,60+ minute walk for thinking and creative insights,daily,afternoon,31,2025-11-13
Reading before bed,30 minutes of reading physical books,daily,night,44,2025-11-12
Italian language practice,Duolingo and conversation practice,daily,evening,15,2025-11-12
Cooking from scratch,Preparing healthy meals instead of ordering out,daily,evening,41,2025-11-13
Monthly digital detox,Full day without screens or internet,monthly,morning,3,2025-11-01
