title,description,preference_domain
Quiet workspaces,Prefer low-noise environments for deep focus,work_environment
Written communication,Prefer async written discussion over meetings,communication
Solo lunches,Prefer eating alone to maintain energy during workday,work_environment
Small gatherings,"Prefer intimate groups (2-6 people) over large parties",people
Coffee shops for variety,Occasional change of scenery for creative work,work_environment
Video calls,Strongly dislike video meetings that could be emails,communication
Open office spaces,Find them draining and distracting,work_environment
Small talk,Feel exhausted by surface-level chitchat,communication
Walking meetings,Prefer moving while discussing ideas,work_environment
Late night social events,Feel drained by evening social commitments,activities
Historical sites,Feel energized exploring ancient places and artifacts,places
Coastal environments,Feel most at peace near the ocean or sea,places
